Node,Depth,Value,Alpha,Beta
B4,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-25,-Infinity,-14
B2,4,-25,-25,-14
A3,5,-19,-25,-14
B2,4,-19,-19,-14
A4,5,-23,-19,-14
B2,4,-19,-19,-14
A5,5,-Infinity,-19,-14
A2,5,-Infinity,-19,-14
A2,5,-11,-19,-14
A2,5,-11,-19,-14
A5,5,-11,-19,-14
B2,4,-11,-19,-14
B4,4,-11,-Infinity,-14
B5,4,-Infinity,-Infinity,-14
A2,5,-15,-Infinity,-14
B5,4,-15,-15,-14
A3,5,-9,-15,-14
B5,4,-9,-15,-14
B4,4,-11,-Infinity,-14
B3,4,-14,-Infinity,-14
B5,4,-Infinity,-Infinity,-14
A2,5,-14,-Infinity,-14
B5,4,-14,-Infinity,-14
B3,4,-14,-Infinity,-14
B5,4,-14,-Infinity,-14
B4,4,-Infinity,-Infinity,-14
A2,5,-12,-Infinity,-14
B4,4,-12,-Infinity,-14
B5,4,-14,-Infinity,-14
B5,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-24,-Infinity,-14
B2,4,-24,-24,-14
A3,5,-18,-24,-14
B2,4,-18,-18,-14
A4,5,-22,-18,-14
B2,4,-18,-18,-14
A5,5,-Infinity,-18,-14
A2,5,-Infinity,-18,-14
A2,5,-10,-18,-14
A2,5,-10,-18,-14
A5,5,-10,-18,-14
B2,4,-10,-18,-14
B5,4,-10,-Infinity,-14
B3,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-25,-Infinity,-14
B2,4,-25,-25,-14
A3,5,-19,-25,-14
B2,4,-19,-19,-14
A4,5,-23,-19,-14
B2,4,-19,-19,-14
A5,5,-Infinity,-19,-14
A2,5,-Infinity,-19,-14
A2,5,-11,-19,-14
A2,5,-11,-19,-14
A5,5,-11,-19,-14
B2,4,-11,-19,-14
B3,4,-11,-Infinity,-14
B4,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-26,-Infinity,-14
B2,4,-26,-26,-14
A3,5,-20,-26,-14
B2,4,-20,-20,-14
A4,5,-24,-20,-14
B2,4,-20,-20,-14
A5,5,-Infinity,-20,-14
A2,5,-Infinity,-20,-14
A2,5,-12,-20,-14
A2,5,-12,-20,-14
A5,5,-12,-20,-14
B2,4,-12,-20,-14
B4,4,-12,-Infinity,-14
B5,4,-Infinity,-Infinity,-14
A2,5,-16,-Infinity,-14
B5,4,-16,-16,-14
A3,5,-10,-16,-14
B5,4,-10,-16,-14
B4,4,-12,-Infinity,-14
B3,4,-14,-Infinity,-14
B5,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-26,-Infinity,-14
B2,4,-26,-26,-14
A3,5,-20,-26,-14
B2,4,-20,-20,-14
A4,5,-24,-20,-14
B2,4,-20,-20,-14
A5,5,-Infinity,-20,-14
A2,5,-Infinity,-20,-14
A2,5,-12,-20,-14
A2,5,-12,-20,-14
A5,5,-12,-20,-14
B2,4,-12,-20,-14
B5,4,-12,-Infinity,-14
B4,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-27,-Infinity,-14
B2,4,-27,-27,-14
A3,5,-21,-27,-14
B2,4,-21,-21,-14
A4,5,-25,-21,-14
B2,4,-21,-21,-14
A5,5,-Infinity,-21,-14
A2,5,-Infinity,-21,-14
A2,5,-13,-21,-14
A2,5,-13,-21,-14
A5,5,-13,-21,-14
B2,4,-13,-21,-14
B4,4,-13,-Infinity,-14
B5,4,Infinity,-Infinity,-14
